5512.000000,2756.000000,2450.000000,1378.000000,355.000000
5512.000000,4410.000000,2004.000000,1225.000000,212.000000
5512.000000,4410.000000,2450.000000,1696.000000,479.000000
5512.000000,4410.000000,3150.000000,2450.000000,51.000000
5512.000000,4410.000000,2756.000000,2450.000000,479.000000
5512.000000,4410.000000,2450.000000,1297.000000,490.000000
5512.000000,4410.000000,2450.000000,2004.000000,151.000000
5512.000000,4410.000000,2004.000000,1297.000000,416.000000
5512.000000,4410.000000,2004.000000,1696.000000,51.000000
5512.000000,4410.000000,1696.000000,1297.000000,501.000000
5512.000000,4410.000000,2756.000000,1696.000000,54.000000
5512.000000,4410.000000,3150.000000,1696.000000,52.000000
5512.000000,4410.000000,1696.000000,1297.000000,214.000000
5512.000000,4410.000000,3675.000000,1470.000000,52.000000
4410.000000,3675.000000,1470.000000,1297.000000,54.000000
5512.000000,4410.000000,1575.000000,1297.000000,339.000000
5512.000000,1696.000000,1470.000000,1297.000000,373.000000
4410.000000,3150.000000,2450.000000,1696.000000,275.000000
4410.000000,3150.000000,2756.000000,2450.000000,441.000000
4410.000000,3150.000000,2450.000000,1102.000000,208.000000
